PLAYER_ID,SEASON_ID,TEAM_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
200746,2015-16,1610612759,30.6,7.2,14.1,0.513,0.0,0.2,0.0,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0
200746,2016-17,1610612759,32.4,6.9,14.6,0.477,0.3,0.8,0.411,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
200746,2017-18,1610612759,33.5,9.2,18.0,0.51,0.4,1.2,0.293,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1
200746,2018-19,1610612759,33.3,8.4,16.4,0.515,0.1,0.5,0.263,4.3,5.1,0.847,3.1,6.0,9.1,2.5,0.5,1.3,1.8,2.2,21.3
1628959,2018-19,1610612741,7.0,0.7,2.7,0.25,0.2,0.8,0.2,0.5,0.5,1.0,1.5,0.8,2.3,1.0,0.2,0.0,0.5,0.3,2.0
1628960,2018-19,1610612762,9.2,1.2,3.6,0.322,0.7,2.2,0.297,0.9,1.3,0.69,0.0,0.3,0.3,0.5,0.1,0.1,0.5,1.1,3.8
1628386,2017-18,1610612751,20.0,3.3,5.5,0.589,0.1,0.2,0.333,1.6,2.0,0.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2
1628386,2018-19,1610612751,26.4,4.2,7.2,0.586,0.1,0.6,0.136,2.6,3.6,0.708,2.4,5.9,8.4,1.4,0.6,1.5,1.3,2.4,11.0
1628443,2017-18,1610612738,5.9,0.3,1.2,0.273,0.0,0.6,0.0,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1
1628443,2018-19,1610612752,21.5,3.4,7.3,0.473,0.8,1.8,0.455,2.1,2.6,0.804,0.4,2.1,2.6,3.8,0.8,0.2,1.4,2.5,9.8
202329,2010-11,1610612746,17.9,2.0,5.0,0.394,0.6,1.8,0.315,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6
202329,2011-12,1610612740,22.4,2.3,5.5,0.411,0.2,0.7,0.277,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0
202329,2012-13,1610612740,27.2,3.0,6.2,0.475,0.1,0.3,0.211,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3
202329,2013-14,1610612740,25.6,2.9,6.2,0.474,0.2,0.6,0.271,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2
202329,2014-15,1610612742,18.5,2.0,4.8,0.412,0.5,1.7,0.274,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
202329,2015-16,1610612757,28.5,3.6,8.8,0.416,1.5,4.3,0.361,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2
202329,2016-17,1610612757,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7
202329,2017-18,1610612757,30.0,3.3,8.4,0.395,1.8,4.9,0.369,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3
202329,2018-19,1610612757,28.5,3.2,7.2,0.437,1.2,3.4,0.348,1.8,2.1,0.863,1.4,6.1,7.5,1.3,0.8,0.4,0.9,1.8,9.3
1626147,2015-16,1610612742,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
1626147,2016-17,1610612742,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5
1626147,2016-17,1610612755,21.6,3.1,6.8,0.463,0.9,3.0,0.292,1.3,1.7,0.78,1.3,2.8,4.0,1.4,0.5,0.3,1.1,1.9,8.5
1626147,2016-17,0,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1
1626147,2017-18,1610612755,13.7,2.3,5.3,0.431,0.9,2.7,0.33,0.7,1.0,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2
1626147,2018-19,1610612737,8.5,1.2,3.0,0.411,0.4,1.4,0.274,0.4,0.6,0.72,0.4,1.1,1.5,0.4,0.4,0.3,0.4,0.9,3.3
203937,2014-15,1610612759,10.8,0.9,2.7,0.348,0.1,0.3,0.273,0.3,0.4,0.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2
203937,2015-16,1610612759,16.0,1.8,3.8,0.468,0.2,0.5,0.324,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5
203937,2016-17,1610612759,14.2,1.3,2.9,0.445,0.2,0.6,0.375,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4
203937,2017-18,1610612759,26.7,3.1,5.9,0.527,0.3,0.8,0.333,1.4,2.0,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9
203937,2018-19,1610612763,29.8,3.5,6.4,0.543,0.2,0.8,0.265,0.9,1.5,0.578,1.1,4.7,5.8,3.0,1.3,0.9,1.3,2.6,8.0
201583,2008-09,1610612751,19.9,2.4,6.2,0.393,1.0,2.9,0.365,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4
201583,2009-10,1610612753,14.5,2.7,6.2,0.436,1.2,3.3,0.37,1.1,1.3,0.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7
201583,2010-11,1610612753,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.5,1.8,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6
201583,2011-12,1610612753,32.2,5.4,12.4,0.439,2.7,6.9,0.393,2.5,2.8,0.877,3.7,4.0,7.7,0.9,0.8,0.4,0.9,2.4,16.1
201583,2012-13,1610612740,30.9,5.8,13.8,0.423,2.6,6.9,0.382,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2
201583,2013-14,1610612740,36.1,7.0,16.1,0.438,3.0,7.5,0.409,2.7,2.8,0.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8
201583,2014-15,1610612740,27.5,4.8,12.0,0.399,2.0,5.9,0.34,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7
201583,2015-16,1610612740,30.4,6.0,14.1,0.427,2.0,5.4,0.366,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
201583,2016-17,1610612745,29.4,4.5,10.7,0.418,2.8,7.0,0.403,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6
201583,2017-18,1610612745,26.1,3.1,7.3,0.431,2.0,5.1,0.386,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3
201583,2018-19,1610612756,18.5,1.3,4.0,0.317,0.5,2.3,0.206,0.7,0.9,0.786,0.9,2.1,3.0,1.1,0.2,0.1,0.8,1.5,3.7
201583,2018-19,1610612748,4.8,0.2,1.0,0.222,0.2,0.7,0.333,0.1,0.2,0.5,0.4,0.6,1.0,0.2,0.1,0.0,0.2,0.2,0.8
201583,2018-19,0,13.3,0.9,2.9,0.304,0.4,1.7,0.225,0.5,0.7,0.75,0.8,1.5,2.3,0.8,0.2,0.0,0.6,1.0,2.6
1628387,2017-18,1610612754,2.7,0.4,0.8,0.444,0.0,0.0,0.0,0.5,0.5,0.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2
1628387,2018-19,1610612754,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0
