Team_ID,Game_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612737,21701214,240,41,98,0.418,13,37,0.35100000000000003,18,26,0.6920000000000001,8,31,39,27,10,3,10,24,113
1610612737,21701202,240,43,86,0.5,15,35,0.429,11,14,0.7859999999999999,5,32,37,23,7,4,13,19,112
1610612737,21701184,240,38,79,0.48100000000000004,11,33,0.33299999999999996,16,23,0.696,7,43,50,24,5,5,18,22,103
1610612737,21701172,240,33,90,0.3670000000000001,9,30,0.3,11,17,0.647,10,38,48,20,5,6,15,16,86
1610612737,21701158,240,37,88,0.42,13,33,0.39399999999999996,11,15,0.733,12,37,49,24,10,1,15,15,98
1610612737,21701147,240,41,85,0.48200000000000004,11,36,0.306,1,1,1.0,5,47,52,33,0,3,14,15,94
1610612737,21701130,240,36,101,0.35600000000000004,9,39,0.231,10,15,0.667,15,44,59,24,9,4,16,14,91
1610612737,21701120,240,41,77,0.532,13,27,0.48100000000000004,19,23,0.826,4,33,37,26,10,2,19,22,114
1610612737,21701101,240,39,88,0.44299999999999995,11,40,0.275,10,11,0.909,7,38,45,18,5,2,13,14,99
1610612737,21701087,240,37,84,0.44,11,32,0.344,9,20,0.45,5,39,44,24,5,5,11,14,94
1610612737,21701077,240,33,84,0.39299999999999996,12,36,0.33299999999999996,12,18,0.667,6,34,40,19,7,2,12,10,90
1610612737,21701062,240,38,94,0.40399999999999997,9,33,0.273,14,19,0.737,11,41,52,21,7,3,13,23,99
1610612737,21701041,240,39,85,0.45899999999999996,12,36,0.33299999999999996,27,28,0.9640000000000001,8,36,44,23,7,4,19,25,117
1610612737,21701021,240,42,90,0.467,16,36,0.444,17,26,0.654,6,40,46,30,5,2,11,27,117
1610612737,21701007,240,37,87,0.425,13,31,0.419,20,24,0.833,13,34,47,26,5,5,15,25,107
1610612737,21700993,240,42,82,0.512,19,40,0.475,19,22,0.8640000000000001,5,37,42,32,2,5,15,14,122
1610612737,21700978,240,34,82,0.415,10,33,0.303,9,10,0.9,6,29,35,21,11,4,18,13,87
1610612737,21700958,240,34,80,0.425,6,21,0.28600000000000003,16,21,0.762,12,32,44,22,8,6,21,25,90
1610612737,21700943,240,43,94,0.457,17,33,0.515,10,12,0.833,9,40,49,23,7,5,16,18,113
1610612737,21700928,240,38,86,0.442,15,35,0.429,18,20,0.9,3,32,35,21,10,2,19,21,109
1610612737,21700915,240,38,87,0.4370000000000001,9,29,0.31,22,27,0.815,15,34,49,21,13,11,21,23,107
1610612737,21700897,240,36,96,0.375,8,36,0.222,24,34,0.706,8,33,41,21,14,3,11,17,104
