Game_ID,GAME_DATE,Season,away_team_id,home_team_id
21701214,"APR 10, 2018",2017-18,1610612755,1610612737
21701202,"APR 08, 2018",2017-18,1610612737,1610612738
21701184,"APR 06, 2018",2017-18,1610612737,1610612764
21701172,"APR 04, 2018",2017-18,1610612748,1610612737
21701158,"APR 03, 2018",2017-18,1610612737,1610612748
21701147,"APR 01, 2018",2017-18,1610612753,1610612737
21701130,"MAR 30, 2018",2017-18,1610612755,1610612737
21701120,"MAR 28, 2018",2017-18,1610612737,1610612750
21701101,"MAR 25, 2018",2017-18,1610612737,1610612745
21701087,"MAR 23, 2018",2017-18,1610612737,1610612744
21701077,"MAR 22, 2018",2017-18,1610612737,1610612758
21701062,"MAR 20, 2018",2017-18,1610612737,1610612762
21701041,"MAR 17, 2018",2017-18,1610612737,1610612749
21701021,"MAR 15, 2018",2017-18,1610612766,1610612737
21701007,"MAR 13, 2018",2017-18,1610612760,1610612737
21700993,"MAR 11, 2018",2017-18,1610612741,1610612737
21700978,"MAR 09, 2018",2017-18,1610612737,1610612754
21700958,"MAR 06, 2018",2017-18,1610612737,1610612761
21700943,"MAR 04, 2018",2017-18,1610612756,1610612737
21700928,"MAR 02, 2018",2017-18,1610612744,1610612737
21700915,"FEB 28, 2018",2017-18,1610612754,1610612737
21700897,"FEB 26, 2018",2017-18,1610612747,1610612737
21700874,"FEB 23, 2018",2017-18,1610612737,1610612754
21700853,"FEB 14, 2018",2017-18,1610612737,1610612765
21700848,"FEB 13, 2018",2017-18,1610612737,1610612749
21700834,"FEB 11, 2018",2017-18,1610612765,1610612737
21700819,"FEB 09, 2018",2017-18,1610612739,1610612737
21700811,"FEB 08, 2018",2017-18,1610612737,1610612753
21700799,"FEB 06, 2018",2017-18,1610612763,1610612737
21700786,"FEB 04, 2018",2017-18,1610612737,1610612752
21700767,"FEB 02, 2018",2017-18,1610612737,1610612738
21700755,"JAN 31, 2018",2017-18,1610612766,1610612737
21700739,"JAN 29, 2018",2017-18,1610612750,1610612737
21700726,"JAN 27, 2018",2017-18,1610612764,1610612737
21700714,"JAN 26, 2018",2017-18,1610612737,1610612766
21700705,"JAN 24, 2018",2017-18,1610612761,1610612737
21700688,"JAN 22, 2018",2017-18,1610612762,1610612737
21700675,"JAN 20, 2018",2017-18,1610612741,1610612737
21700654,"JAN 17, 2018",2017-18,1610612740,1610612737
21700641,"JAN 15, 2018",2017-18,1610612759,1610612737
21700621,"JAN 12, 2018",2017-18,1610612751,1610612737
21700612,"JAN 10, 2018",2017-18,1610612737,1610612743
21700598,"JAN 08, 2018",2017-18,1610612737,1610612746
21700590,"JAN 07, 2018",2017-18,1610612737,1610612747
21700576,"JAN 05, 2018",2017-18,1610612737,1610612757
21700551,"JAN 02, 2018",2017-18,1610612737,1610612756
21700533,"DEC 30, 2017",2017-18,1610612757,1610612737
21700522,"DEC 29, 2017",2017-18,1610612737,1610612761
21700508,"DEC 27, 2017",2017-18,1610612764,1610612737
21700484,"DEC 23, 2017",2017-18,1610612742,1610612737
21700477,"DEC 22, 2017",2017-18,1610612737,1610612760
21700455,"DEC 20, 2017",2017-18,1610612754,1610612737
21700443,"DEC 18, 2017",2017-18,1610612748,1610612737
21700425,"DEC 15, 2017",2017-18,1610612737,1610612763
21700413,"DEC 14, 2017",2017-18,1610612765,1610612737
21700397,"DEC 12, 2017",2017-18,1610612737,1610612739
21700390,"DEC 10, 2017",2017-18,1610612737,1610612752
21700378,"DEC 09, 2017",2017-18,1610612753,1610612737
21700355,"DEC 06, 2017",2017-18,1610612737,1610612753
21700342,"DEC 04, 2017",2017-18,1610612751,1610612737
21700328,"DEC 02, 2017",2017-18,1610612737,1610612751
21700313,"NOV 30, 2017",2017-18,1610612739,1610612737
21700280,"NOV 25, 2017",2017-18,1610612761,1610612737
21700268,"NOV 24, 2017",2017-18,1610612752,1610612737
21700256,"NOV 22, 2017",2017-18,1610612746,1610612737
21700250,"NOV 20, 2017",2017-18,1610612737,1610612759
21700230,"NOV 18, 2017",2017-18,1610612738,1610612737
21700204,"NOV 15, 2017",2017-18,1610612758,1610612737
21700195,"NOV 13, 2017",2017-18,1610612737,1610612740
21700177,"NOV 11, 2017",2017-18,1610612737,1610612764
21700169,"NOV 10, 2017",2017-18,1610612737,1610612765
21700146,"NOV 06, 2017",2017-18,1610612738,1610612737
21700136,"NOV 05, 2017",2017-18,1610612737,1610612739
21700123,"NOV 03, 2017",2017-18,1610612745,1610612737
21700107,"NOV 01, 2017",2017-18,1610612737,1610612755
21700085,"OCT 29, 2017",2017-18,1610612749,1610612737
21700072,"OCT 27, 2017",2017-18,1610612743,1610612737
21700065,"OCT 26, 2017",2017-18,1610612737,1610612741
21700042,"OCT 23, 2017",2017-18,1610612737,1610612748
21700038,"OCT 22, 2017",2017-18,1610612737,1610612751
21700017,"OCT 20, 2017",2017-18,1610612737,1610612766
21700009,"OCT 18, 2017",2017-18,1610612737,1610612742
21701219,"APR 11, 2018",2017-18,1610612751,1610612738
21701215,"APR 10, 2018",2017-18,1610612738,1610612764
21701185,"APR 06, 2018",2017-18,1610612741,1610612738
21701171,"APR 04, 2018",2017-18,1610612738,1610612761
21701162,"APR 03, 2018",2017-18,1610612738,1610612749
21701140,"MAR 31, 2018",2017-18,1610612761,1610612738
21701121,"MAR 28, 2018",2017-18,1610612738,1610612762
21701107,"MAR 26, 2018",2017-18,1610612738,1610612756
21701099,"MAR 25, 2018",2017-18,1610612738,1610612758
21701086,"MAR 23, 2018",2017-18,1610612738,1610612757
